name,neighbourhood_cleansed,longitude,latitude,host_location,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,license,property_type,room_type,accommodates,bathrooms_text,price,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
Home in Koto-ku · ★4.94 · 1 bedroom · 1 bath,Koto Ku,139.81931,35.6806,"Tokyo, Japan",21769906,2014-09-25,100.0,100.0,0.0,3,t,M1300,Entire home,Entire home/apt,3,1 bath,61.0,4,4,4,326,4.94,4.57,2.9
Rental unit in Kita · ★4.48 · 1 bedroom · 5 beds · 1 bath,Kita Ku,139.71599,35.76108,"Tokyo, Japan",19152993,2014-07-30,100.0,99.0,1.0,9,t,M1300,Entire rental unit,Entire home/apt,5,1 bath,77.04,0,0,0,218,4.48,4.49,1.97
Rental unit in Suginami-ku · ★4.81 · 1 bedroom · 2 beds · 1 bath,Suginami Ku,139.59775,35.70399,"Tokyo, Japan",18776800,2014-07-24,100.0,97.0,0.0,19,t,M1300,Entire rental unit,Entire home/apt,4,1 bath,91.5,6,20,27,48,4.81,4.94,0.43
Rental unit in Suginami-ku · ★4.63 · 1 bedroom · 1 bed · 1 bath,Suginami Ku,139.59775,35.70399,"Tokyo, Japan",18776800,2014-07-24,100.0,97.0,0.0,19,t,M1300,Entire rental unit,Entire home/apt,3,1 bath,112.85,3,22,49,27,4.63,4.77,0.25
Home in Higashimurayama · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,Higashimurayama Shi,139.48037,35.75828,"Higashimurayama, Japan",22643572,2014-10-17,100.0,90.0,1.0,3,t,M1300,Private room in home,Private room,2,1 shared bath,26.41,0,9,9,13,5.0,4.46,0.12
Rental unit in Kita · ★4.51 · 1 bedroom · 5 beds · 1 bath,Kita Ku,139.71599,35.76108,"Tokyo, Japan",19152993,2014-07-30,100.0,99.0,1.0,9,t,M1300,Entire rental unit,Entire home/apt,5,1 bath,80.17,0,0,0,215,4.51,4.49,1.97
Rental unit in Hino-shi · ★4.53 · 1 bedroom · 2 beds · 1 bath,Hino Shi,139.39428,35.68587,"Tokyo, Japan",23416902,2014-11-06,100.0,100.0,1.0,2,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,63.52,20,50,80,40,4.53,4.5,0.37
Rental unit in Mitaka-shi · ★5.0 · 1 bedroom · 2 beds · 1 private bath,Mitaka Shi,139.538055,35.680981,"Suginami, Japan",23871736,2014-11-17,100.0,83.0,0.0,2,t,M1300,Private room in rental unit,Private room,2,1 private bath,230.93,15,23,48,33,5.0,4.45,0.36
Rental unit in Nakano-ku · ★4.82 · 1 bedroom · 1 bed · 1 bath,Nakano Ku,139.63305,35.73414,"Nakano, Japan",17736560,2014-07-06,100.0,100.0,0.0,10,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,60.79,7,37,67,83,4.82,4.78,0.77
Rental unit in Mitaka-shi · ★4.91 · 2 bedrooms · 4 beds · 2 baths,Mitaka Shi,139.538055,35.680981,"Suginami, Japan",23871736,2014-11-17,100.0,83.0,0.0,2,t,M1300,Entire rental unit,Entire home/apt,4,2 baths,244.0,13,18,27,45,4.91,4.48,0.42
Home in Higashimurayama-shi · ★5.0 · 1 bedroom · 1 shared bath,Higashimurayama Shi,139.47982,35.75851,"Higashimurayama, Japan",22643572,2014-10-17,100.0,90.0,1.0,3,t,M1300,Private room in home,Private room,2,1 shared bath,31.29,0,18,18,3,5.0,4.67,0.03
Home in Higashimurayama-shi · ★4.96 · 1 bedroom · 2 beds · 1 shared bath,Higashimurayama Shi,139.48071,35.75619,"Higashimurayama, Japan",22643572,2014-10-17,100.0,90.0,1.0,3,t,M1300,Private room in home,Private room,2,1 shared bath,29.28,14,14,31,23,4.96,4.48,0.35
Rental unit in Hino-city · ★4.45 · 1 bedroom · 2 beds · 1 bath,Hino Shi,139.39496,35.68548,"Tokyo, Japan",23416902,2014-11-06,100.0,100.0,1.0,2,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,60.77,0,24,54,44,4.45,4.42,0.41
Home in Shinagawaku · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,Shinagawa Ku,139.72313,35.61794,"Shinagawa City, Japan",9951050,2013-11-11,100.0,100.0,0.0,1,t,M1300,Private room in home,Private room,1,1.5 shared baths,30.68,0,0,0,237,4.88,4.79,1.93
Townhouse in Toshima-ku · ★4.62 · 3 bedrooms · 4 beds · 1 bath,Toshima Ku,139.68657,35.73055,"Tokyo, Japan",9782688,2013-11-03,100.0,99.0,0.0,5,t,M1300,Entire townhouse,Entire home/apt,5,1 bath,189.8,1,7,13,149,4.62,4.59,1.38
Condo in 世田谷区 · ★4.92 · 2 bedrooms · 2 beds · 1 bath,Setagaya Ku,139.64624,35.63858,,10294366,2013-11-27,100.0,100.0,0.0,1,t,M1300,Entire condo,Entire home/apt,10,1 bath,292.8,18,48,75,123,4.92,4.72,1.03
Rental unit in Taito-ku · ★4.95 · 1 bedroom · 2 beds · 1 bath,Taito Ku,139.79048,35.72804,"Taito, Japan",23595333,2014-11-11,100.0,100.0,0.0,2,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,5,1 bath,103.7,3,6,10,307,4.95,4.9,2.85
Rental unit in Shibuya City · ★4.62 · Studio · 1 bed · 1 bath,Shibuya Ku,139.68058,35.67744,"Tokyo, Japan",24812892,2014-12-14,100.0,100.0,0.0,1,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,106.32,0,0,0,299,4.62,4.47,2.73
Home in Shibuya-ku · ★4.94 · 1 bedroom · 2 baths,Shibuya Ku,139.68367,35.67191,"Shibuya City, Japan",11430874,2014-01-19,100.0,86.0,0.0,1,t,M1300,Private room in home,Private room,3,2 baths,237.9,0,2,2,167,4.94,4.96,1.41
Home in 文京区 · ★4.56 · 1 bedroom · 1 bed · 1.5 baths,Bunkyo Ku,139.76383,35.72761,"Matsudo, Japan",24087904,2014-11-23,100.0,100.0,1.0,6,t,M1300,Entire home,Entire home/apt,3,1.5 baths,57.66,27,54,83,181,4.56,4.85,1.65
Rental unit in 新宿区 · ★4.77 · 1 bedroom · 8 beds · 1 shared bath,Shinjuku Ku,139.70433,35.69847,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Shared room in rental unit,Shared room,8,1 shared bath,44.39,21,44,68,89,4.77,4.78,0.75
Rental unit in 新宿区 · ★4.82 · 1 bedroom · 8 beds · 1 shared bath,Shinjuku Ku,139.70433,35.69848,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Shared room in rental unit,Shared room,8,1 shared bath,44.39,25,48,72,175,4.82,4.81,1.47
Rental unit in 新宿区 · ★4.73 · 1 bedroom · 8 beds · 1 shared bath,Shinjuku Ku,139.70435,35.69848,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Shared room in rental unit,Shared room,8,1 shared bath,43.94,21,44,68,77,4.73,4.79,0.65
Rental unit in 新宿区 · ★4.76 · 1 bedroom · 8 beds · 1 shared bath,Shinjuku Ku,139.70433,35.69848,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Shared room in rental unit,Shared room,8,1 shared bath,44.39,25,48,72,75,4.76,4.84,0.63
Guest suite in Akishima-shi · ★4.78 · 1 bedroom · 1 bed · 1 bath,Akishima Shi,139.37975,35.70561,"Akishima, Japan",13465066,2014-03-23,100.0,81.0,0.0,2,t,M1300,Entire guest suite,Entire home/apt,2,1 bath,28.06,0,10,40,36,4.78,4.54,0.34
Villa in Hachioji · ★4.85 · 2 bedrooms · 2 beds · 1 bath,Hachioji Shi,139.2863,35.63738,,400207807,2021-05-05,99.14269266195886,97.12430146503549,1.0,3,t,M1300,Entire villa,Entire home/apt,6,1 bath,128.1,20,47,68,174,4.85,4.53,1.59
Rental unit in Kita · ★4.43 · 1 bedroom · 5 beds · 1 bath,Kita Ku,139.71599,35.76108,"Tokyo, Japan",19152993,2014-07-30,100.0,99.0,1.0,9,t,M1300,Entire rental unit,Entire home/apt,5,1 bath,66.36,0,0,0,219,4.43,4.4,2.03
Rental unit in Katsushika · ★4.93 · 1 bedroom · 5 beds · 1.5 baths,Katsushika Ku,139.85174,35.73816,"Katsushika City, Japan",7740848,2013-07-26,100.0,99.0,0.0,11,t,M1300,Entire rental unit,Entire home/apt,5,1.5 baths,183.28,0,0,0,292,4.93,4.71,2.69
Home in Bunkyō-ku · ★4.90 · 1 bedroom · 1 bed · 2 shared baths,Bunkyo Ku,139.76445,35.72035,"Bunkyo City, Japan",4839990,2013-01-25,100.0,94.0,0.0,3,t,M1300,Private room in home,Private room,2,2 shared baths,99.54,0,0,0,106,4.9,4.88,1.02
Rental unit in Shibuya-ku · ★4.62 · 1 bedroom · 2 beds · 1 bath,Shibuya Ku,139.67571,35.67923,"Shibuya City, Japan",25370510,2014-12-29,100.0,99.0,0.0,6,t,M1300,Entire rental unit,Entire home/apt,3,1 bath,79.3,8,14,14,202,4.62,4.64,2.16
